Nr	Data wypadku	Nr rejestracyjny	Wyplacone ubezpieczenie	Nr_ubezp	Nr_polic
3	24.03.2002	NWE4941	8276	2	3
7	19.11.2001	KKT3567	6455	3	1
10	25.03.2005	PCZ2875	8978	2	7
11	08.04.2000	CRA7854	10299	5	2
12	24.11.2004	DJA8532	7690	6	3
14	06.12.2005	PCZ1500	2676	4	6
15	21.11.2004	PLE3632	5249	1	7
16	30.08.2003	PCH3068	9226	2	8
18	18.10.2004	DZL1567	6615	4	1
24	21.12.2000	GST3889	3544	1	8
25	22.01.2003	DJ16323	1964	1	7
26	06.06.2000	EPD5234	10252	1	6
27	17.10.2001	RLU9802	-1	0	1
29	10.09.2003	NSZ2785	8066	6	3
34	10.07.2000	RTA9052	8019	5	1
35	04.07.2000	RZ71514	8342	3	4
36	27.09.2004	SO14164	4462	1	5
39	25.04.2003	KTA5359	2795	2	8
40	02.02.2005	BI45035	2874	6	7
41	28.05.2002	RKL3889	1771	5	5
42	06.04.2002	RTA3127	-1	0	7
43	25.04.2003	RBI8785	6548	1	4
45	24.09.2002	DJE8913	3099	2	3
46	07.02.2007	RKR6026	2862	2	4
48	27.09.2003	DSR8330	3874	2	8
49	17.02.2002	BL83185	4314	3	1
51	25.11.2000	RTA3127	2240	4	5
52	21.07.2002	RLU9802	4301	1	6
55	11.02.2004	ZSZ7618	3352	2	8
56	10.10.2001	PKR2419	661	2	3
57	13.04.2002	DZG7321	5674	1	4
58	19.08.2004	RPZ4224	6536	3	5
