Czas_przybycia_pojazdu_do_punktu_poboru_oplat	Bramka_proponowana_przez_system_automatyczny	Bramka,_ktora_faktycznie_zrealizowala obsluge_pojazdu
0	2	2
3.734	1	1
8.572	1	1
11.57	3	3
13.747	2	2
14.758	3	1
16.234	3	3
20.116	2	2
22.518	1	1
23.594	2	3
27.604	3	3
31.494	3	3
32.575	4	4
36.712	4	4
39.35	1	1
40.55	1	2
42.885	1	3
47.788	4	4
50.518	4	1
53.984	2	2
56.046	3	3
60.948	3	3
64.015	4	4
66.971	1	1
69.282	4	4
72.486	4	1
74.057	3	3
76.908	2	2
78.809	2	1
82.969	1	1
86.56	4	4
91.299	1	1
92.747	2	2
96.299	4	4
97.501	3	3
102.144	3	3
104.164	4	4
105.295	3	1
107.903	3	3
109.371	3	1
111.114	2	2
112.697	4	4
116.333	2	2
117.722	3	3
119.449	1	1
123.478	1	1
125.577	1	2
127.907	1	1
132.46	2	2
133.94	1	1
137.882	1	1
138.882	2	2
140.045	2	3
141.975	2	1
144.546	3	3
149.348	3	3
151.655	2	2
